dataset,origin,id,doc,summ,cut,error_type,annotated_span
Goyal’21,xsum,17532613,"the country's consumer watchdog has taken apple to court for false advertising because the tablet computer does not work on australia's 4g network. apple's lawyers said they were willing to publish a clarification. however the company does not accept that it misled customers. the australian competition and consumer commission - lrb - accc - rrb - said on tuesday : ` ` apple's recent promotion of the new ` ipad with wi - fi + 4g'is misleading because it represents to australian consumers that the product can, with a sim card, connect to a 4g mobile data network in australia, when this is not the case.'' the watchdog then lodged a complaint at the federal court in melbourne. at a preliminary hearing, apple lawyer paul anastassiou said apple had never claimed the device would work fully on the current 4g network operated by telstra. apple says the new ipad works on what is globally accepted to be a 4g network. the matter will go to a full trial on 2 may. the apple ipad's third version went on sale earlier this month, with australia the first country where it was available. shoppers lined up by the hundreds at apple stores on opening day and the company said it had been its strongest ipad launch to date. the accc said it was seeking an injunction on sales as well as a financial penalty against apple, corrective advertising and refunds to consumers. on its website, apple does state that 4g lte is only supported on selected networks in the us and canada.",apple has been accused of misleading customers in australia over its new ipad 3.0 version.,val,['extrinsic-NP'],[['3.0']]
Goyal’21,xsum,37331990,"no international side has toured bangladesh since 20 people were killed in a siege at a cafe in dhaka in july. the england and wales cricket board said in august that tour would go ahead following a security review. jos buttler will captain the one - day side, with the squads for the one - day and test series to be named on friday. the tour features three one - day internationals followed by two test matches. morgan has followed his own course, with the assurance ringing in his ears that nothing is going to happen, and i don't see how they can now sack him england director of cricket andrew strauss said : ` ` while we understand and respect eoin and alex's decision, we are disappointed that they have made themselves unavailable for selection for the bangladesh tour.'' he added that no further withdrawals are expected following ` ` open and honest'' discussions with all the players. england players stuart broad, moeen ali, chris jordan and liam dawson have all publicly said they will tour bangladesh. former england captain michael vaughan has described morgan's decision as a ` ` huge mistake'', while nasser hussain, another ex - skipper of the national side, said morgan ` ` should be with his team''. but team - mate ben stokes tweeted his support for both players. england fly out on 29 september, with the one - day series starting on 7 october and the test series on 20 october. they follow that with a tour of india, which begins on 9 november and features five tests, three odis and three twenty20s. morgan, 29, said this week that he would never go on a tour where security concerns may affect his game. ` ` in 2010, we played an indian premier league game in bangalore and a bomb went off in the ground,'' he said. ` ` we left and went straight to the airport. ` ` another one was playing domestic cricket in bangladesh during political elections and things were incredibly violent. given that no - one has toured there since the terrorist attack adds a bigger decision to it.'' bowlers andrew caddick and robert croft pulled out of england's 2001 tour of india because of safety concerns following the 9 / 11 attacks in new york. ` ` i was","eoin morgan and alex hales have pulled out of the england and wales tour of bangladesh because of security concerns, with england director of cricket andrew strauss saying they are disappointed by the decision.",test,['intrinsic-predicate'],[['they are disappointed']]
Goyal’21,xsum,40493408,"in a nod to mr trudeau's fondness for statement socks, he wore canada - themed mountie and maple leaf print ones to welcome his first foreign visitor. mr trudeau opted for a more subtle striped pair on his first official engagement in the republic of ireland. the canadian premier is in the country for a three - day visit. away from talk of socks, trade issues are set to dominate the agenda, with the canada - eu free trade deal expected to be a focal point of talks between the two leaders. mr trudeau arrived in dublin with his wife, sophie gra © goire, and their youngest son, hadrien, on monday. he is in europe for a key g20 summit in hamburg, germany later this week. mr trudeau is also due to meet irish president michael d higgins at his official residence. the visit was arranged in may when mr varadkar's predecessor enda kenny met the canadian leader in montreal. on that occasion, mr trudeau wore special star wars themed socks, as it coincided with the widely - celebrated star wars day on 4 may.",canadian prime minister justin trudeau has met irish prime minister enda varadkar for the first time in the republic of ireland.,val,['intrinsic-NP'],[['enda varadkar']]
Goyal’21,xsum,39601773,"the subsea power hub - lrb - sph - rrb - is being tested by aberdeen based ec - og at shapinsay sound, orkney. the company said the system is ` ` performing in line with technical predictions''. the unit will be left to operate autonomously over the summer months while it is checked using wireless data monitoring. ec - og said the sph is a ground - breaking hybrid drive system which uses a marine energy convertor to produce energy which is stored in a lithium - based unit. engineering director robert cowman said : ` ` although the weather was not on our side, we were still able to successfully complete the installation and commence testing ahead of schedule. ` ` the system is performing very well and i'm pleased at how quickly the results are correlating with the theoretical basis for the test. having a vertical axis turbine, means that the sph is operating effectively in these unpredictable, sporadic flow conditions. ` ` thanks go to the ec - og team as well as those who have helped us at emec, leask marine, castle view and scottish enterprise.''",the world's first subsea power hub which uses a lithium-based drive system to generate electricity is being tested off the west coast of orkney.,test,['intrinsic-NP'],[['lithium-based drive system']]
Goyal’21,xsum,40730958,"the last quarter saw insolvencies rise year - on - year by 17. 3 % to 2, 839, according to official figures. paul wheelhouse claimed there was ` ` no question'' austerity had led to ` ` more people suffering the anxiety and distress of insolvency''. the scottish conservatives called on the scottish government to do more to help people deal with personal debt. accountant in bankruptcy - lrb - aib - rrb -, which administers the process of bankruptcy and records corporate insolvencies, said personal bankruptcies increased by 11. 2 % year - on - year to 1, 289 in the three months to 30 june. protected trust deeds rose 22. 9 % over the same period to 1, 550. the number of debt payment programmes under the debt arrangement scheme - lrb - das - rrb - - which allows debtors to pay their debts in full without facing insolvency - were also up by 16. 8 %, to 597. a total of a # 9. 4 m was repaid through das in the latest quarter, up from a # 9. 3 m repaid in the same period last year. responding to the figures, mr wheelhouse said : ` ` on the personal insolvency front, there is no question that continuing austerity has led to incomes being squeezed and more people suffering the anxiety and distress of insolvency as a result. ` ` but it is nevertheless important we acknowledge that the longer term trend of people accessing statutory debt relief and debt management solutions is a declining onea $ z and numbers of people falling into insolvency are around half of the levels reported at the turn of the decade.'' the scottish conservatives said the personal insolvency figures showed ` ` just how much some are struggling''. finance spokesman murdo fraser said : ` ` it's incredibly worrying to see such a sharp increase in the number of scots going bankrupt. ` ` given the lacklustre growth in the scottish economy over the last year, we are starting to see the consequences of it as more and more people are struggling in a sea of debt. ` ` these individuals will be going through an incredibly tough time and it is incumbent upon the scottish government to do all they can to support them. ` ` one step the snp could take","austerity has led to a sharp increase in the number of people falling into insolvency in scotland, according to figures released by the accountant in bankruptcy.",val,,
Goyal’21,xsum,33317451,"the office of premier li keqiang said that emissions ` ` will peak by around 2030'' and china would work hard to achieve the target even earlier. the statement echoes china's declaration last november following a us - china summit. china's pledge comes ahead of talks late this year in paris to seek a new global deal on climate change. the statement, released following a meeting in paris between li and french president francois hollande, said china aimed to reduce its carbon dioxide emissions per unit of gdp by 60 - 65 % by 2030, from 2005 levels. the carbon intensity target builds on a previous plan to cut carbon intensity by 40 - 45 % by 2020. china also aimed to increase the share of non - fossil fuels in its primary energy consumption to about 20 % by 2030, the statement added. beijing previously set a goal of getting around 15 % of its energy from clean sources by 2020. analysis by the bbc's science editor, david shukman this is a significant moment in international climate negotiations. for years china argued that it was too poor and underdeveloped to even consider accepting any obligations to curb its greenhouse gases. now we're witnessing the world's largest emitter playing by the un's rules and promising even deeper cuts that those suggested some months back. for diplomats and ministers hoping to see a meaningful deal at the climate summit in paris at the end of the year, this will be a welcome step. the size of cuts, and the timescale, will of course be judged by many as too little and too late. but for anyone who endured the collapse of talks at the copenhagen summit six years ago, china is playing a very different and far more constructive game. will it actually make any difference to global warming? scientists always say it does not matter to the atmosphere where the emissions come from and china's will continue to rise for the next 15 years or so, and on their already gargantuan scale. and today's announcement does not mean that chinese use of fossil fuels is coming to an end any time soon. on the same day that china has announced this climate plan it also began construction of a massive pipeline that will bring it a lot of gas from russia. all countries involved in un climate talks must submit national plans for cutting emissions ahead of the key paris talks. china joins several other countries, including the eu, us and mexico","china has pledged to cut its carbon dioxide emissions by 60 - 65% by 2030, according to a statement from the country's government.",test,,
Goyal’21,xsum,35324918,"16 january 2016 last updated at 12 : 15 gmt the cctv, recorded on 5 january, shows the hgv passing the van at speed near ulceby, forcing the van driver to stop on the crossing. inspector graham bridges said it was an example of ` ` extremely dangerous driving'' and the police are now trying to trace both drivers.",a van driver has been caught on camera being overtaken by a highways agency (hgv) lorry on the a55 in lincolnshire.,val,,
Goyal’21,xsum,39282274,"the pasty tax became synonymous with george osborne's so - called omnishambles budget of 2012. the chancellor was forced to backtrack on several proposed tax rises - including charging 20 % vat on alterations to historic buildings and static caravans - in the weeks after his statement. but it was the plan to charge 20 % vat on hot savoury food which caused mr osborne the most indigestion. he had proposed that all food sold ` ` above ambient temperature'' - including pasties, pies and sausage rolls - should include vat to close a tax loophole. it might have looked innocuous on paper but the idea caused an outcry among businesses up and down the country, who argued it would hit trade and jobs. the chancellor and prime minister david cameron also faced claims they were out of touch with the pasty - munching masses. the measure was finally dropped in late may, about two months after it was first announced. towards the end of his time as chancellor, george osborne performed another screeching u - turn, this time over cuts to tax credits for low - income families in work. it was part of a # 12bn cut to the welfare bill which the conservatives had promised before the 2015 election but had given very little detail of before the poll. in an ` ` emergency'' june budget after david cameron's election victory, the chancellor announced that spending on tax credits had ballooned since 1997 and he planned to reduce the income threshold from # 6, 420 to # 3, 850 and restrict tax credits and universal credit to the first two children. labour, who were in the throes of a leadership contest at the time, were somewhat slow to respond but soon the opposition galvanised themselves against the proposal, which was also criticised by tory backbenchers and charities, who said it would cost many families # 1, 000 a week. the government suffered a damaging defeat in the house of the lords, where peers backed labour calls to delay the plans. mr osborne finally conceded defeat in november's autumn statement when he said the plans would simply not be implemented. gordon brown loved to wrongfoot the opposition by springing a surprise at the end of his budget speeches - but it was his own side that was",the pasty tax was one of the most controversial measures in the history of the uk budget speech - but it was not the only one to cause an outcry.,test,['intrinsic-NP'],[['most controversial']]
Goyal’21,xsum,37653065,"dublin side bohemians visit brandywell stadium on friday night in the first home game since dundalk supporters were attacked earlier this month. fans, residents and club officials marched from lecky road to brandywell. club director denis bradley said it was a symbolic gesture to prevent further trouble and 500 people took part. ` ` this is a battle we will win, this is a battle we have to win, maybe not immediately but we are very resolved,'' he said. derry city's fai cup semi - final defeat by dundalk fc was marred by trouble outside the ground. a teenager suffered head injuries and a dundalk supporters'bus was vandalised. police said they have been liaising closely with the local community and the club in preparation for friday night's match. ch insp alan hutton said : ` ` there will be an appropriate policing operation to ensure the safety of all supporters attending, as well as minimising any impact on local communities. ` ` i would encourage all supporters to come and enjoy the game and respect the local community. ` ` i would also like to acknowledge the excellent work carried out by the local community and derry city football club in preparation for tonight's match.'' derry city added that the trouble by a ` ` group of youths'' was not typical. ` ` there is a group of youngsters, we don't know where they are from or who they are, who appear to be using these occasions to misbehave,'' mr bradley said. ` ` derry city are saying tonight : ` ` not in our name'' and the local residents are joining us to say : ` ` not in our area'' are you doing these things.''",derry city football club have taken part in a protest march in a bid to prevent further trouble at their home game against dundalk.,val,['intrinsic-NP'],[['game against dundalk']]
Goyal’21,xsum,37540194,"the welsh secretary said labour had let down west wales and the valleys. speaking at the conservative party conference in birmingham, mr cairns said some areas, which had the most eu funds, voted more heavily to leave. a spokesman for first minister carwyn jones insisted eu - funded programmes had made a ` ` big difference'' in wales. mr cairns accused mr jones of trying to present wales as ` ` a victim of the eu referendum'', following the majority vote across the uk for brexit. ` ` he seems to forget that wales voted to leave the european union too,'' he said. mr cairns argued brexit represented an opportunity to do things better - and warned ` ` carrying on in the same old way, spending according to the same old plans after two decades is not an option any longer''. ` ` after all, european structural funds are supposed to be a temporary fix, a stimulus for the most deprived parts of the uk. ` ` in wales in 1999 i remember the debate about objective one money - it was described as a ` once - in - a - generation opportunity '. ` ` but 16 years on, # 4bn later, labour's mismanagement of the funds has let those communities down. ` ` so much was their frustration that those areas that had received most european aid were the very same areas that voted in the strongest numbers to leave the european union. ` ` if only they - lsb - labour - rsb - had focused on the outcomes in the same way that they focused on the money that they were spending in those projects.'' mr cairns told the conference the new structure after brexit ` ` will give us the opportunity to follow uk priorities, investing in a way that is completely tailored to the welsh and the uk economy''. the vale of glamorgan mp singled out mr jones for criticism, but added : ` ` whether we like it or not, we must work from that instruction. ` ` there are new and exciting opportunities for wales with the uk being the global leader in free trade.'' mr cairns argued the new department for international trade will be ` ` fundamental'' to seek out new markets and increase inward investment for wales. a spokesman for the first minister said there was an ` ` astonishing paradox'' in m",welsh conservative leader neil cairns has accused labour of mismanagement of european structural funds after the uk voted to leave the eu.,test,['intrinsic-NP'],[['neil cairns']]
